L1 Ref,Level 1 category,SLT owner,L2 Ref,Level 2 risk area,Draft appetite
1,Strategy & Governance,Julia (CEO),1.1,Strategy delivery and prioritisation,Balanced: seeking
1,Strategy & Governance,Julia (CEO),1.2,"Board, committee and Advisory Council effectiveness",Balanced: averse
1,Strategy & Governance,Julia (CEO),1.3,Charity Commission and regulatory compliance,Averse
1,Strategy & Governance,Julia (CEO),1.4,External partnerships and positioning,Balanced: seeking
1,Strategy & Governance,Julia (CEO),1.5,External environment and political change,Balanced: averse
2,Fellowship Programme,Nikesh (Fellowship),2.1,Fair and equitable Fellowship selection,Averse
2,Fellowship Programme,Nikesh (Fellowship),2.2,Fellow safety and security overseas,Averse
2,Fellowship Programme,Nikesh (Fellowship),2.3,Safeguarding,Averse
2,Fellowship Programme,Nikesh (Fellowship),2.4,Grant management and Activate delivery,Balanced: averse
3,Engagement & Reputation,Jacqui (Engagement),3.1,Programme and theme design,Balanced: seeking
3,Engagement & Reputation,Jacqui (Engagement),3.2,"Brand and reputation, incl. sensitive programme areas",Balanced: averse
3,Engagement & Reputation,Jacqui (Engagement),3.3,Media and crisis communications,Balanced: averse
3,Engagement & Reputation,Jacqui (Engagement),3.4,Fellow engagement and network experience,Balanced: seeking
3,Engagement & Reputation,Jacqui (Engagement),3.5,Events and convening,Balanced: seeking
3,Engagement & Reputation,Jacqui (Engagement),3.6,Knowledge curation and content accuracy,Balanced: averse
4,Fundraising,Chris (Development),4.1,Fundraising innovation and new income streams,Seeking
4,Fundraising,Chris (Development),4.2,Income concentration and pipeline resilience,Balanced: averse
4,Fundraising,Chris (Development),4.3,Donor due diligence and ethical acceptance,Averse
4,Fundraising,Chris (Development),4.4,Restricted funds and donor compliance,Averse
4,Fundraising,Chris (Development),4.5,Activate funding and donor cannibalisation,Balanced: seeking
4,Fundraising,Chris (Development),4.6,Case for support and impact evidence,Balanced: seeking
5,Finance & Endowment,Jim (COO),5.1,Endowment performance and drawdown,Balanced: seeking
5,Finance & Endowment,Jim (COO),5.2,"Liquidity, reserves and solvency",Averse
5,Finance & Endowment,Jim (COO),5.3,"Budgeting, forecasting and reporting",Balanced: averse
5,Finance & Endowment,Jim (COO),5.4,Fraud and financial crime,Averse
6,People & Culture,Julia (CEO),6.1,"Recruitment, retention and capability",Balanced: averse
6,People & Culture,Julia (CEO),6.2,"Wellbeing, health and safety",Averse
6,People & Culture,Julia (CEO),6.3,Diversity & Inclusion in our workforce,Balanced: averse
6,People & Culture,Julia (CEO),6.4,"Culture, capacity and change fatigue",Balanced: averse
6,People & Culture,Julia (CEO),6.5,Key person dependency,Balanced: averse
7,Change & Transformation,Jim (COO),7.1,Change portfolio prioritisation and sequencing,Balanced: averse
7,Change & Transformation,Jim (COO),7.2,"Portal design, delivery and adoption",Balanced: seeking
7,Change & Transformation,Jim (COO),7.3,Office move delivery,Balanced: averse
7,Change & Transformation,Jim (COO),7.4,AI adoption and innovation,Balanced: seeking
7,Change & Transformation,Jim (COO),7.5,Benefits realisation and ways of working,Balanced: averse
8,"Operations, Tech & Data",Jim (COO),8.1,Cyber security and IT resilience,Averse
8,"Operations, Tech & Data",Jim (COO),8.2,"Tech system suitability, procurement, integration and data quality",Balanced: averse
8,"Operations, Tech & Data",Jim (COO),8.3,Data protection and privacy,Averse
8,"Operations, Tech & Data",Jim (COO),8.4,"Facilities, business continuity and crisis management",Balanced: averse
8,"Operations, Tech & Data",Jim (COO),8.5,Suppliers and third parties,Balanced: averse
